image_filename,category,bottle_type,durability_score,chemical_safety_score,ergonomics_score
00004838.jpg,Beer Bottles,beer_bottles,7,8,8
00000754.jpg,Water Bottle,water_bottle,7,7,7
00004107.jpg,Water Bottle,water_bottle,7,8,8
00004622.jpg,Water Bottle,water_bottle,6,7,8
00001470.jpg,Soda Bottle,soda_bottle,7,8,8
00000072.jpg,Soda Bottle,soda_bottle,7,7,8
00001028.jpg,Water Bottle,water_bottle,7,8,8
00001959.jpg,Water Bottle,water_bottle,7,7,8
00004776.jpg,Wine Bottle,wine_bottle,7,8,8
00004941.jpg,Wine Bottle,wine_bottle,7,8,8
00001293.jpg,Wine Bottle,wine_bottle,7,8,8
00002171.jpg,Plastic Bottles,plastic_bottles,7,8,8
00001284.jpg,Beer Bottles,beer_bottles,7,8,8
00003593.jpg,Water Bottle,water_bottle,7,7,8
00002794.jpg,Plastic Bottles,plastic_bottles,7,8,7
00003043.jpg,Soda Bottle,soda_bottle,8,8,8
00000909.jpg,Plastic Bottles,plastic_bottles,7,8,7
00001130.jpg,Plastic Bottles,plastic_bottles,7,8,8
00002602.jpg,Wine Bottle,wine_bottle,7,8,8
00003623.jpg,Beer Bottles,beer_bottles,7,8,8
00004379.jpg,Soda Bottle,soda_bottle,7,8,7
00002486.jpg,Beer Bottles,beer_bottles,7,8,8
00003441.jpg,Water Bottle,water_bottle,7,8,8
00003794.jpg,Beer Bottles,beer_bottles,7,8,7
00002738.jpg,Wine Bottle,wine_bottle,7,8,8
00004285.jpg,Plastic Bottles,plastic_bottles,7,7,8
00000457.jpg,Plastic Bottles,plastic_bottles,7,7,8
00001866.jpg,Beer Bottles,beer_bottles,7,8,7
00000960.jpg,Water Bottle,water_bottle,7,8,8
00000970.jpg,Water Bottle,water_bottle,7,8,8
00001997.jpg,Wine Bottle,wine_bottle,7,8,7
00004883.jpg,Beer Bottles,beer_bottles,7,8,8
00004691.jpg,Beer Bottles,beer_bottles,7,8,8
00004512.jpg,Beer Bottles,beer_bottles,6,7,7
00001871.jpg,Soda Bottle,soda_bottle,7,8,8
00004313.jpg,Wine Bottle,wine_bottle,7,7,8
