image_filename,category,bottle_type,durability_score,chemical_safety_score,ergonomics_score
00004838.jpg,Beer Bottles,beer_bottles,9,9,7
00000754.jpg,Water Bottle,water_bottle,6,7,6
00004107.jpg,Water Bottle,water_bottle,5,9,6
00004622.jpg,Water Bottle,water_bottle,6,6,8
00001470.jpg,Soda Bottle,soda_bottle,6,9,9
00000072.jpg,Soda Bottle,soda_bottle,6,6,9
00001028.jpg,Water Bottle,water_bottle,8,6,8
00001959.jpg,Water Bottle,water_bottle,6,8,7
00004776.jpg,Wine Bottle,wine_bottle,8,8,8
00004941.jpg,Wine Bottle,wine_bottle,7,8,9
00001293.jpg,Wine Bottle,wine_bottle,6,6,6
00002171.jpg,Plastic Bottles,plastic_bottles,6,9,8
00001284.jpg,Beer Bottles,beer_bottles,8,6,9
00003593.jpg,Water Bottle,water_bottle,5,9,7
00002794.jpg,Plastic Bottles,plastic_bottles,7,7,9
00003043.jpg,Soda Bottle,soda_bottle,7,8,9
00000909.jpg,Plastic Bottles,plastic_bottles,6,6,6
00001130.jpg,Plastic Bottles,plastic_bottles,9,7,7
00002602.jpg,Wine Bottle,wine_bottle,8,6,9
00003623.jpg,Beer Bottles,beer_bottles,5,9,8
00004379.jpg,Soda Bottle,soda_bottle,9,7,7
00002486.jpg,Beer Bottles,beer_bottles,9,9,8
00003441.jpg,Water Bottle,water_bottle,7,8,9
00003794.jpg,Beer Bottles,beer_bottles,5,8,9
00002738.jpg,Wine Bottle,wine_bottle,8,9,8
00004285.jpg,Plastic Bottles,plastic_bottles,5,7,8
00000457.jpg,Plastic Bottles,plastic_bottles,8,9,9
00001866.jpg,Beer Bottles,beer_bottles,7,9,9
00000960.jpg,Water Bottle,water_bottle,7,8,8
00000970.jpg,Water Bottle,water_bottle,7,7,9
00001997.jpg,Wine Bottle,wine_bottle,8,7,8
00004883.jpg,Beer Bottles,beer_bottles,6,9,9
00004691.jpg,Beer Bottles,beer_bottles,7,9,8
00004512.jpg,Beer Bottles,beer_bottles,5,9,7
00001871.jpg,Soda Bottle,soda_bottle,5,9,8
00004313.jpg,Wine Bottle,wine_bottle,5,7,8
00004183.jpg,Plastic Bottles,plastic_bottles,5,8,8
00001270.jpg,Beer Bottles,beer_bottles,5,9,8
00000975.jpg,Water Bottle,water_bottle,9,6,9
00003145.jpg,Plastic Bottles,plastic_bottles,9,9,8
00001114.jpg,Wine Bottle,wine_bottle,8,8,8
00001508.jpg,Water Bottle,water_bottle,8,7,9
00004660.jpg,Water Bottle,water_bottle,5,9,6
00004262.jpg,Plastic Bottles,plastic_bottles,5,9,9
00002756.jpg,Soda Bottle,soda_bottle,6,9,8
00000438.jpg,Beer Bottles,beer_bottles,8,9,6
00003494.jpg,Soda Bottle,soda_bottle,7,7,6
00003014.jpg,Wine Bottle,wine_bottle,9,6,6
00000048.jpg,Water Bottle,water_bottle,9,9,6
00000225.jpg,Soda Bottle,soda_bottle,6,9,9
00002549.jpg,Water Bottle,water_bottle,6,9,7
00002865.jpg,Wine Bottle,wine_bottle,5,6,8
00003408.jpg,Plastic Bottles,plastic_bottles,9,7,8
00001637.jpg,Soda Bottle,soda_bottle,9,6,8
00004920.jpg,Soda Bottle,soda_bottle,7,8,7
00004244.jpg,Beer Bottles,beer_bottles,7,9,9
00000236.jpg,Wine Bottle,wine_bottle,6,6,9
00002507.jpg,Plastic Bottles,plastic_bottles,7,6,6
00004210.jpg,Soda Bottle,soda_bottle,5,6,6
00004387.jpg,Water Bottle,water_bottle,7,9,8
00003643.jpg,Water Bottle,water_bottle,5,9,8
00001712.jpg,Water Bottle,water_bottle,9,6,6
00001355.jpg,Soda Bottle,soda_bottle,5,7,8
00002350.jpg,Wine Bottle,wine_bottle,9,6,7
00000534.jpg,Beer Bottles,beer_bottles,6,9,9
00000382.jpg,Water Bottle,water_bottle,9,9,8
00004153.jpg,Soda Bottle,soda_bottle,6,9,8
00000960.jpg,Wine Bottle,wine_bottle,8,6,8
00003870.jpg,Beer Bottles,beer_bottles,7,9,9
00003590.jpg,Wine Bottle,wine_bottle,6,8,8
00001093.jpg,Water Bottle,water_bottle,5,7,7
00003035.jpg,Water Bottle,water_bottle,5,8,8
00000611.jpg,Plastic Bottles,plastic_bottles,8,9,7
00003363.jpg,Wine Bottle,wine_bottle,9,9,9
00002567.jpg,Wine Bottle,wine_bottle,6,9,8
00003849.jpg,Plastic Bottles,plastic_bottles,8,8,7
00002342.jpg,Beer Bottles,beer_bottles,5,7,8
00004517.jpg,Wine Bottle,wine_bottle,5,8,6
00003269.jpg,Beer Bottles,beer_bottles,9,9,6
00002311.jpg,Plastic Bottles,plastic_bottles,5,7,6
00003973.jpg,Water Bottle,water_bottle,8,7,8
00002444.jpg,Water Bottle,water_bottle,9,9,6
00003100.jpg,Plastic Bottles,plastic_bottles,5,7,7
00002968.jpg,Beer Bottles,beer_bottles,8,9,6
00000097.jpg,Wine Bottle,wine_bottle,8,8,8
00002411.jpg,Wine Bottle,wine_bottle,9,7,9
00003787.jpg,Soda Bottle,soda_bottle,5,7,8
00001734.jpg,Water Bottle,water_bottle,7,6,9
00003934.jpg,Wine Bottle,wine_bottle,7,9,6
00004227.jpg,Beer Bottles,beer_bottles,5,7,6
00001067.jpg,Plastic Bottles,plastic_bottles,6,8,8
00002655.jpg,Soda Bottle,soda_bottle,8,9,6
00001204.jpg,Plastic Bottles,plastic_bottles,8,7,8
00003707.jpg,Water Bottle,water_bottle,9,9,8
00002077.jpg,Water Bottle,water_bottle,9,6,8
00003179.jpg,Soda Bottle,soda_bottle,6,8,8
00002107.jpg,Beer Bottles,beer_bottles,7,9,8
00001870.jpg,Beer Bottles,beer_bottles,5,9,8
00001107.jpg,Plastic Bottles,plastic_bottles,9,6,9
00002096.jpg,Water Bottle,water_bottle,7,8,8
00003566.jpg,Soda Bottle,soda_bottle,9,8,8
00003380.jpg,Plastic Bottles,plastic_bottles,6,9,9
